dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
camel-2.11.0.csv,IAMB,0.97,0.6,0.56,0.57,0.15,0.8,0.71,0.69
camel-2.11.0.csv,IAMBnPC,0.95,0.56,0.6,0.57,0.16,0.75,0.74,0.72
camel-2.11.0.csv,LRH,0.97,0.58,0.56,0.56,0.13,0.77,0.71,0.69
camel-2.11.0.csv,BAMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,FBEDk,0.95,0.57,0.63,0.58,0.18,0.81,0.76,0.73
camel-2.11.0.csv,MMMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,PCMB,0.93,0.54,0.62,0.56,0.14,0.78,0.75,0.73
camel-2.11.0.csv,HITON_MB,0.97,0.59,0.56,0.57,0.15,0.78,0.72,0.69
camel-2.11.0.csv,MBOR,--,--,--,--,--,--,--,
camel-2.11.0.csv,IPCMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,STMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,KIAMB,0.95,0.57,0.63,0.59,0.19,0.81,0.76,0.74
camel-2.11.0.csv,TIE_P,0.96,0.58,0.61,0.59,0.19,0.8,0.75,0.73
camel-2.11.0.csv,Chi-Square1,0.94,0.55,0.61,0.57,0.16,0.75,0.75,0.73
camel-2.11.0.csv,Chi-Square2,0.95,0.57,0.63,0.59,0.19,0.8,0.76,0.74
camel-2.11.0.csv,Chi-Square3,0.95,0.58,0.64,0.6,0.21,0.82,0.77,0.75
camel-2.11.0.csv,Chi-Square4,0.95,0.58,0.64,0.6,0.21,0.81,0.77,0.74
camel-2.11.0.csv,Mutual-Info1,0.96,0.59,0.61,0.6,0.2,0.75,0.75,0.73
camel-2.11.0.csv,Mutual-Info2,0.96,0.61,0.64,0.62,0.24,0.79,0.77,0.74
camel-2.11.0.csv,Mutual-Info3,0.96,0.61,0.67,0.63,0.27,0.85,0.79,0.77
camel-2.11.0.csv,Mutual-Info4,0.96,0.6,0.66,0.62,0.25,0.86,0.78,0.76
camel-2.11.0.csv,Anova1,0.97,0.56,0.55,0.56,0.11,0.55,0.71,0.68
