dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
camel-2.11.0.csv,FBEDk,0.94,0.55,0.62,0.57,0.16,0.77,0.75,0.73
camel-2.11.0.csv,MMMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,PCMB,0.94,0.54,0.59,0.55,0.12,0.68,0.73,0.71
camel-2.11.0.csv,HITON_MB,0.91,0.54,0.64,0.55,0.14,0.76,0.75,0.74
camel-2.11.0.csv,MBOR,--,--,--,--,--,--,--,
camel-2.11.0.csv,IPCMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,STMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,KIAMB,0.91,0.55,0.68,0.56,0.18,0.77,0.78,0.77
camel-2.11.0.csv,TIE_P,0.91,0.55,0.68,0.57,0.19,0.77,0.79,0.77
camel-2.11.0.csv,Chi-Square1,0.87,0.53,0.65,0.53,0.14,0.72,0.75,0.74
camel-2.11.0.csv,Chi-Square2,0.81,0.53,0.72,0.51,0.16,0.78,0.77,0.76
camel-2.11.0.csv,Chi-Square3,0.82,0.53,0.71,0.51,0.15,0.79,0.76,0.76
camel-2.11.0.csv,Chi-Square4,0.83,0.53,0.72,0.52,0.17,0.8,0.77,0.77
camel-2.11.0.csv,Mutual-Info1,0.85,0.53,0.68,0.52,0.15,0.78,0.76,0.75
camel-2.11.0.csv,Mutual-Info2,0.87,0.55,0.76,0.55,0.22,0.8,0.81,0.8
camel-2.11.0.csv,Mutual-Info3,0.83,0.54,0.74,0.52,0.19,0.81,0.78,0.78
camel-2.11.0.csv,Mutual-Info4,0.83,0.54,0.76,0.53,0.2,0.83,0.8,0.79
camel-2.11.0.csv,Anova1,0.95,0.56,0.59,0.57,0.15,0.64,0.74,0.71
